label_index	winner_index	loser_index	evaluator_index
397	23	33	150
398	71	33	83
399	71	33	107
400	71	33	21
401	71	33	127
402	71	33	42
403	71	33	99
404	71	33	53
405	71	33	27
406	71	33	15
407	71	33	150
408	71	33	148
409	32	33	4
410	32	33	21
411	32	33	159
412	32	33	52
413	32	33	52
414	32	33	34
415	32	33	58
416	32	33	119
417	32	33	82
418	32	33	82
419	32	33	142
420	32	33	27
421	32	33	167
422	5	33	100
423	5	33	42
424	5	33	96
425	5	33	87
426	29	33	135
427	29	33	119
428	29	33	27
429	29	33	104
430	29	33	92
431	29	33	10
432	8	33	66
433	8	33	4
434	8	33	35
435	8	33	127
436	8	33	71
437	8	33	48
438	8	33	99
439	8	33	126
440	8	33	126
441	8	33	126
442	8	33	126
443	8	33	63
444	8	33	8
445	8	33	43
446	8	33	133
447	14	33	23
448	14	33	138
449	14	33	4
450	14	33	72
451	14	33	107
452	14	33	127
453	14	33	42
454	14	33	82
455	14	33	82
456	67	33	137
457	67	33	21
458	67	33	159
459	67	33	52
460	67	33	161
461	67	33	161
462	67	33	85
463	67	33	82
464	67	33	168
465	67	33	87
466	67	33	123
467	63	33	159
468	63	33	33
469	63	33	82
470	63	33	153
471	63	33	84
472	63	33	12
473	63	33	60
474	24	33	171
475	24	33	10
476	24	33	102
477	75	33	23
478	75	33	127
479	75	33	57
480	75	33	63
481	75	33	27
482	75	33	27
483	75	33	0
484	75	33	84
485	75	33	166
486	75	33	150
487	75	33	123
488	20	33	35
489	20	33	48
490	20	33	126
491	20	33	119
492	20	33	8
493	20	33	167
494	50	33	72
495	50	33	159
496	50	33	159
497	50	33	111
498	50	33	86
499	50	33	113
500	50	33	32
501	50	33	82
502	50	33	82
503	50	33	87
504	50	33	150
505	50	33	88
506	45	33	171
507	45	33	79
508	45	33	30
509	45	33	119
510	45	33	53
511	45	33	142
512	45	33	142
513	45	33	8
514	45	33	73
515	45	33	61
516	1	33	23
517	1	33	97
518	1	33	111
519	1	33	113
520	1	33	89
521	1	33	33
522	1	33	153
523	1	33	110
524	1	33	8
525	1	33	5
526	41	33	58
527	41	33	153
528	41	33	8
529	41	33	73
530	41	33	73
531	41	33	19
532	72	33	4
533	72	33	21
534	72	33	97
535	72	33	48
536	72	33	86
537	72	33	57
538	72	33	145
539	72	33	10
540	72	33	176
541	72	33	19
542	72	33	70
543	72	33	102
544	68	33	52
545	68	33	126
546	68	33	58
547	68	33	58
548	68	33	84
549	68	33	31
550	57	33	21
551	57	33	111
552	57	33	113
553	57	33	26
554	57	33	33
555	57	33	153
556	57	33	104
557	57	33	13
558	57	33	167
559	57	33	167
560	57	33	133
561	57	33	123
562	57	33	123
563	11	33	23
564	11	33	147
565	11	33	35
566	11	33	159
567	11	33	111
568	11	33	128
569	11	33	14
570	11	33	76
571	11	33	139
572	11	33	84
573	11	33	10
574	11	33	17
575	42	33	21
576	42	33	21
577	42	33	21
578	42	33	48
579	42	33	119
580	42	33	104
581	42	33	84
582	42	33	102
583	49	33	111
584	49	33	161
585	49	33	40
586	49	33	89
587	49	33	85
588	49	33	150
589	49	33	150
590	65	33	137
591	65	33	72
592	65	33	113
593	65	33	32
594	65	33	33
595	65	33	84
596	65	33	87
597	65	33	145
598	65	33	10
599	17	33	23
600	17	33	21
601	17	33	97
602	17	33	48
603	17	33	128
604	17	33	170
605	17	33	82
606	17	33	27
607	31	33	23
608	31	33	4
609	31	33	89
610	31	33	153
611	31	33	133
612	31	33	5
613	31	33	54
614	19	33	23
615	19	33	111
616	19	33	48
617	19	33	158
618	19	33	10
619	19	33	150
620	19	33	78
621	66	33	2
622	66	33	161
623	66	33	14
624	66	33	57
625	66	33	10
626	66	33	150
627	66	33	19
628	66	33	78
629	66	33	102
630	25	33	2
631	25	33	57
632	25	33	133
633	25	33	102
634	3	33	14
635	3	33	76
636	3	33	153
637	3	33	25
638	3	33	104
639	3	33	13
640	3	33	87
641	12	33	159
642	12	33	48
643	12	33	33
644	12	33	84
645	12	33	168
646	12	33	87
647	6	33	83
648	6	33	91
649	6	33	111
650	6	33	48
651	6	33	14
652	6	33	32
653	6	33	58
654	6	33	119
655	6	33	33
656	6	33	0
657	6	33	145
658	6	33	10
659	6	33	123
660	6	33	123
661	16	33	35
662	16	33	21
663	16	33	14
664	16	33	34
665	16	33	42
666	16	33	167
667	16	33	56
668	55	33	113
669	55	33	57
670	55	33	85
671	55	33	8
672	55	33	84
673	55	33	174
674	15	33	159
675	15	33	81
676	15	33	82
677	15	33	82
678	15	33	153
679	15	33	104
680	30	33	57
681	30	33	104
682	30	33	8
683	30	33	145
684	30	33	148
685	22	33	4
686	22	33	21
687	22	33	97
688	22	33	159
689	22	33	81
690	22	33	42
691	22	33	40
692	22	33	33
693	22	33	153
694	22	33	104
695	22	33	84
696	22	33	176
697	22	33	146
698	76	33	147
699	76	33	107
