1.686910255207061837e+00 4.084152439294010506e+00 5.128499752168164783e+00
8.980234228203487490e-01 5.536414026813863742e+00 3.207884916182659918e+00
4.356165322854852029e+00 4.861342343753100259e+00 7.531036495461874702e-01
1.413070529678991417e-02 3.629098663650917267e+00 5.529750586719799799e+00
5.150958461294695923e+00 5.965788683386741731e+00 2.309924874755841726e-02
6.755860887178607221e+00 3.786158841103022532e-02 2.685133027557121910e+00
2.553373356511314807e+00 3.055241874347060627e+00 5.463683392926951932e+00
5.513012548785239275e+00 8.628752121844529208e-03 4.421728355747544192e+00
3.882536434232161771e+00 9.856620290502787762e-01 5.348391411503341075e+00
6.277331486419051920e+00 1.458127214005257910e+00 1.737008985411963469e+00
5.009788059123466475e+00 5.255677753698560828e+00 1.595613039022506507e-01
5.664145517711146383e+00 4.997692104884144726e+00 6.173404236323976058e-02
5.561620339754003856e-02 5.362100499573391410e+00 3.950909738269456906e+00
3.508352555645008142e+00 5.534256674872941595e+00 2.412536027914307990e+00
3.363517721913273029e+00 2.390195465304011613e+00 5.109339218885957656e+00
5.626026954821575110e+00 4.702536052878020456e+00 3.956402006707866459e-01
5.522240822436651264e+00 4.055410064271500192e-01 4.508043092554110842e+00
5.439426348932289379e+00 9.539181669902455085e-02 4.692160545266812477e+00
6.556432579437960761e+00 4.724503417235634967e-02 2.868417613149464085e+00
6.045695042035529987e+00 1.451877554983001861e+00 1.527165580416916857e+00
4.459895086925836694e+00 6.456876194289746351e+00 4.781348256815795561e-02
2.965434903569308389e+00 1.504247682310965617e+00 5.974175113870887621e+00
5.268204071603329375e+00 6.630998249645790876e-01 4.343569222415152531e+00
9.552453704231310683e-01 3.051664772109493384e+00 6.113239772416259932e+00
3.247836346343371261e+00 5.911960374053271572e+00 1.376927398396072366e+00
3.922643112247198971e+00 5.940784254444928081e+00 1.325706677698726521e+00
1.263868137678624048e+00 5.249118307142569329e+00 3.725509553920960837e+00
1.883228852348907578e+00 3.607829394035097170e+00 4.830657149281073259e+00
3.844964734224644243e+00 6.987234693928390250e+00 4.230763046994873502e-03
