idea_index	idea
0	1948s.png
1	1948w.png
2	1952s.png
3	1952w.png
4	1956s.png
5	1956w.png
6	1960s.png
7	1960w.png
8	1964s.png
9	1964w.png
10	1968s.png
11	1968w.png
12	1972s.png
13	1972w.png
14	1976s.png
15	1976w.png
16	1980s.png
17	1980w.png
18	1984s.png
19	1984w.png
20	1988s.png
21	1988w.png
22	1992s.png
23	1992w.png
24	1994.png
25	1996.png
26	1998.png
27	2000.png
28	2002.png
29	2004.png
30	2006.png
31	2008.png
32	2010.png
33	2012.png
34	2014.png
35	2016.png
36	2018.png
37	2020.png
